stencila,match
gpt-4-0613,gpt-4-0613
gemini-1.5-pro-001,gemini-1.5-pro-001
open-mistral-nemo-2407,mistral-large-2407
mistral-small-2402,
gpt-3.5-turbo-1106,gpt-3.5-turbo-1106
claude-3-sonnet-20240229,claude-3-sonnet-20240229
mistral-tiny-2407,mistral-large-2407
gemini-1.5-flash-001,gemini-1.5-flash-001
codestral-2405,""
gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18
open-mixtral-8x22b-2404,
gpt-3.5-turbo-instruct-0914,
claude-3-opus-20240229,claude-3-opus-20240229
mistral-medium-2312,mistral-medium
claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620
dall-e-2,""
dall-e-3,""
claude-3-haiku-20240307,claude-3-haiku-20240307
gpt-4o-2024-05-13,gpt-4o-2024-05-13
codestral-mamba-2407,
gemini-1.0-pro-001,gemini-1.5-pro-001
gpt-4-turbo-2024-04-09,gpt-4-turbo-2024-04-09
mistral-tiny-2312,
gpt-4o-2024-08-06,gpt-4o-2024-08-06
mistral-large-2407,mistral-large-2407
