id,created_at,modified_at,provider,identifier,name,version
1,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,stencila,router,Router,0.1.0
2,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,anthropic,claude-3-5-sonnet-20240620,Claude,3-5-sonnet-20240620
3,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,anthropic,claude-3-opus-20240229,Claude,3-opus-20240229
4,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,anthropic,claude-3-sonnet-20240229,Claude,3-sonnet-20240229
5,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,anthropic,claude-3-haiku-20240307,Claude,3-haiku-20240307
6,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,google,gemini-1.0-pro-001,Gemini,1.0-pro-001
7,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,google,gemini-1.5-flash-001,Gemini,1.5-flash-001
8,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,google,gemini-1.5-pro-001,Gemini,1.5-pro-001
9,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,mistral,codestral-2405,Codestral,2405
10,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,mistral,codestral-mamba-2407,Codestral Mamba,2407
11,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,mistral,mistral-large-2407,Mistral Large,2407
12,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,mistral,mistral-medium-2312,Mistral Medium,2312
13,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,mistral,mistral-small-2402,Mistral Small,2402
14,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,mistral,mistral-tiny-2312,Mistral Tiny,2312
15,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,mistral,mistral-tiny-2407,Mistral Tiny,2407
16,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,mistral,open-mistral-nemo-2407,Mistral Nemo,2407
17,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,mistral,open-mixtral-8x22b-2404,Mixtral,2404
18,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,openai,dall-e-2,DALL·E,2
19,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,openai,dall-e-3,DALL·E,3
20,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,openai,gpt-3.5-turbo-1106,GPT,3.5-turbo-1106
21,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,openai,gpt-3.5-turbo-instruct-0914,GPT,3.5-turbo-instruct-0914
22,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,openai,gpt-4-0613,GPT,4-0613
23,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,openai,gpt-4-turbo-2024-04-09,GPT,4-turbo-2024-04-09
24,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,openai,gpt-4o-2024-05-13,GPT,4o-2024-05-13
25,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,openai,gpt-4o-2024-08-06,GPT,4o-2024-08-06
26,2024-08-07 11:28:06.254,2024-08-07 11:28:06.254,openai,gpt-4o-mini-2024-07-18,GPT,4o-mini-2024-07-18
